Symbol 
,"OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 27-May-2024"
"LICI","892.00","948.00","888.00","871.25","940.75","-","69.50","7.98","2,30,33,284","2,140.39","1,222.00","715.30","17.21","-7.28"
"CDSL","1,470.00","1,524.90","1,466.10","1,465.80","1,518.80","-","53.00","3.62","83,20,963","1,251.88","1,989.80","917.63","13.46","-27.24"
"KEI","3,558.00","3,653.50","3,550.90","3,533.60","3,651.00","-","117.40","3.32","4,50,883","162.79","5,039.70","2,424.00","21.27","-12.17"
"IGL","208.17","214.20","205.04","206.33","212.85","-","6.52","3.16","64,15,652","136.27","285.18","153.05","15.13","-54.86"
"PIIND","3,790.00","3,865.00","3,738.30","3,752.00","3,865.00","-","113.00","3.01","4,59,662","176.02","4,804.05","2,951.10","5.65","6.57"
"BANKINDIA","117.20","120.25","116.95","116.72","119.95","-","3.23","2.77","1,88,21,556","223.34","137.45","90.05","1.32","-8.02"
"IDEA","6.96","7.24","6.96","6.96","7.13","-","0.17","2.44","61,18,00,851","436.21","19.18","6.46","-4.43","-51.07"
"INDUSTOWER","385.70","398.95","383.80","383.85","392.50","-","8.65","2.25","1,45,15,992","571.68","460.35","292.00","-4.12","14.62"
"BHEL","261.10","268.95","260.84","260.17","266.00","-","5.83","2.24","1,63,54,936","435.74","335.35","176.00","15.76","-8.54"
"MGL","1,339.30","1,369.30","1,331.60","1,334.60","1,364.50","-","29.90","2.24","3,79,742","51.51","1,988.00","1,075.25","1.81","4.92"
"CANBK","108.52","111.48","108.48","108.43","110.75","-","2.32","2.14","2,98,22,557","328.41","128.90","78.60","12.69","-4.32"
"M&MFIN","259.70","265.90","258.50","258.20","263.25","-","5.05","1.96","42,03,063","110.70","333.01","231.02","0.46","-2.58"
"BSOFT","416.10","424.85","415.25","415.50","423.00","-","7.50","1.81","17,31,127","72.73","760.45","331.00","8.54","-31.78"
"INDIANB","598.40","609.70","595.00","597.55","608.25","-","10.70","1.79","17,98,400","108.69","632.70","473.90","3.73","7.32"
"POLYCAB","5,999.00","6,090.00","5,943.00","5,964.00","6,057.00","-","93.00","1.56","2,86,060","172.46","7,605.00","4,555.00","8.21","-9.68"
"HDFCLIFE","779.80","790.75","776.05","775.80","787.55","-","11.75","1.51","41,63,057","327.28","790.75","511.40","11.06","36.48"
"LAURUSLABS","605.40","618.45","604.00","601.80","610.85","-","9.05","1.50","18,20,549","111.53","660.90","385.45","-2.55","36.65"
"MUTHOOTFIN","2,068.90","2,106.00","2,060.00","2,062.60","2,093.00","-","30.40","1.47","6,03,063","125.94","2,435.40","1,579.10","-1.92","19.88"
"HINDPETRO","412.15","420.50","409.05","412.15","418.00","-","5.85","1.42","56,30,546","234.35","457.15","287.55","6.60","-23.55"
"NCC","235.95","239.67","234.50","234.09","237.29","-","3.20","1.37","47,15,595","112.22","364.50","170.05","8.66","-14.86"
"OFSS","8,477.50","8,608.50","8,435.00","8,402.50","8,515.00","-","112.50","1.34","1,36,774","116.47","13,220.00","7,022.55","-2.73","12.70"
"KALYANKJIL","565.00","573.45","562.35","562.75","570.25","-","7.50","1.33","36,94,813","210.22","795.40","336.05","10.11","41.78"
"BPCL","317.00","322.60","313.75","317.00","321.20","-","4.20","1.32","71,12,876","227.01","376.00","234.01","3.77","-50.24"
"SUPREMEIND","4,200.40","4,273.90","4,170.00","4,200.40","4,255.00","-","54.60","1.30","6,56,796","278.09","6,460.00","3,095.00","17.02","-24.60"
"BEL","385.45","393.50","384.10","385.40","390.30","-","4.90","1.27","2,75,49,144","1,073.95","393.50","230.00","28.00","35.06"
"BAJFINANCE","9,245.00","9,294.50","9,141.00","9,171.00","9,282.00","-","111.00","1.21","6,50,740","601.02","9,660.00","6,375.70","1.92","34.84"
"HINDCOPPER","251.00","257.90","247.00","245.07","248.00","-","2.93","1.20","2,44,97,092","616.03","381.00","183.82","13.93","-33.53"
"UNIONBANK","140.11","143.39","140.11","141.09","142.74","-","1.65","1.17","1,13,59,310","161.64","172.50","100.81","11.26","-9.42"
"LTF","171.25","175.00","171.25","172.30","174.30","-","2.00","1.16","27,06,198","46.93","194.25","129.20","3.98","11.19"
"SOLARINDS","15,892.00","16,205.00","15,854.00","15,890.00","16,073.00","-","183.00","1.15","3,29,888","530.42","16,205.00","7,888.25","22.78","71.53"
"IRB","51.00","52.59","51.00","51.16","51.74","-","0.58","1.13","2,89,52,178","150.41","78.15","40.96","9.56","-27.68"
"IIFL","417.00","428.75","415.40","417.35","422.00","-","4.65","1.11","12,38,228","52.37","560.60","279.80","14.85","5.60"
"NATIONALUM","182.40","183.95","181.29","181.95","183.80","-","1.85","1.02","59,22,359","108.30","262.99","137.75","14.64","-4.25"
"SIEMENS","3,325.00","3,347.70","3,300.30","3,299.10","3,332.00","-","32.90","1.00","5,70,286","189.92","8,129.90","2,450.00","14.44","-53.24"
"ICICIPRULI","654.05","661.70","650.20","652.35","658.50","-","6.15","0.94","8,53,125","56.07","796.80","515.45","9.19","12.95"
"MFSL","1,484.90","1,506.10","1,478.70","1,484.10","1,497.10","-","13.00","0.88","8,17,253","122.41","1,506.10","864.00","17.18","53.57"
"HEROMOTOCO","4,368.00","4,383.40","4,310.50","4,338.20","4,376.00","-","37.80","0.87","4,24,160","184.13","6,246.25","3,344.00","11.52","-15.85"
"MARICO","718.10","725.00","713.70","715.65","721.40","-","5.75","0.80","22,71,957","163.63","740.20","577.85","0.54","18.29"
"ZYDUSLIFE","925.00","930.50","917.00","918.10","925.00","-","6.90","0.75","8,74,275","80.87","1,324.30","795.00","4.40","-12.09"
"LODHA","1,460.00","1,483.50","1,452.50","1,453.40","1,463.50","-","10.10","0.69","13,96,273","205.18","1,649.95","1,035.15","12.03","9.15"
"BANKBARODA","242.00","243.50","240.84","241.51","243.10","-","1.59","0.66","45,36,627","109.88","299.70","190.70","-3.77","-8.05"
"BHARTIARTL","1,848.00","1,867.00","1,845.10","1,843.80","1,855.50","-","11.70","0.63","37,13,699","689.80","1,917.00","1,219.05","1.88","35.38"
"IOC","143.39","144.45","142.71","143.41","144.30","-","0.89","0.62","63,90,053","91.83","185.97","110.72","5.65","-13.68"
"INOXWIND","193.35","197.39","193.00","192.57","193.70","-","1.13","0.59","1,05,47,257","205.71","261.90","124.25","11.26","31.22"
"NBCC","114.97","117.76","114.85","114.97","115.64","-","0.67","0.58","1,35,31,812","157.52","139.83","70.80","17.19","-16.71"
"MCX","6,450.00","6,517.00","6,422.00","6,423.50","6,461.00","-","37.50","0.58","2,11,806","136.92","7,048.60","2,917.85","4.75","71.25"
"AUBANK","701.20","709.50","698.20","701.20","705.30","-","4.10","0.58","28,73,400","202.73","755.40","478.35","2.62","11.02"
"ADANIPORTS","1,405.00","1,427.80","1,403.00","1,404.20","1,411.20","-","7.00","0.50","20,35,398","287.86","1,621.40","995.65","16.62","0.75"
"HCLTECH","1,664.00","1,666.80","1,647.00","1,652.10","1,660.00","-","7.90","0.48","17,75,441","293.76","2,012.20","1,235.00","6.97","22.00"
"TATAELXSI","6,420.00","6,500.00","6,354.50","6,410.00","6,441.00","-","31.00","0.48","1,75,553","113.07","9,080.00","4,700.00","13.75","-11.60"
"PNBHOUSING","1,043.90","1,063.90","1,042.60","1,040.60","1,045.50","-","4.90","0.47","10,00,882","105.24","1,202.20","616.60","6.04","32.75"
"ICICIBANK","1,447.60","1,458.00","1,442.50","1,446.40","1,452.90","-","6.50","0.45","86,18,343","1,252.10","1,471.60","1,051.05","1.75","29.00"
"CONCOR","771.90","783.70","762.00","768.70","772.00","-","3.30","0.43","49,98,392","386.81","1,180.00","601.25","13.52","-28.00"
"NTPC","338.60","340.70","337.10","338.55","339.90","-","1.35","0.40","1,09,85,957","373.27","448.45","292.80","-5.93","-6.94"
"SBILIFE","1,810.60","1,814.50","1,802.10","1,803.30","1,809.80","-","6.50","0.36","7,63,018","137.89","1,936.00","1,307.70","4.11","24.58"
"SRF","2,885.90","2,927.70","2,876.00","2,880.30","2,890.00","-","9.70","0.34","3,42,652","99.52","3,098.50","2,089.10","-4.70","27.08"
"POONAWALLA","402.60","402.70","395.25","400.25","401.60","-","1.35","0.34","9,75,467","39.00","472.40","267.20","4.01","-9.84"
"IRFC","140.19","141.69","139.81","139.65","140.10","-","0.45","0.32","1,58,77,254","223.35","229.00","108.04","10.36","-22.14"
"PRESTIGE","1,440.70","1,477.80","1,433.40","1,444.50","1,449.00","-","4.50","0.31","5,74,187","83.81","2,074.80","1,048.05","10.34","-6.46"
"EXIDEIND","385.20","388.70","384.10","385.20","386.40","-","1.20","0.31","17,28,672","66.83","620.35","328.00","2.49","-24.16"
"SBIN","794.50","798.90","792.65","793.70","796.00","-","2.30","0.29","68,73,519","547.33","912.00","680.00","-2.54","-4.16"
"ALKEM","5,266.00","5,284.00","5,214.50","5,266.00","5,280.50","-","14.50","0.28","79,161","41.55","6,439.90","4,407.05","4.75","-0.93"
"PNB","102.30","102.60","101.71","102.02","102.27","-","0.25","0.25","1,32,61,838","135.50","138.60","85.46","0.12","-20.21"
"KPITTECH","1,330.00","1,345.00","1,321.00","1,329.80","1,333.00","-","3.20","0.24","5,34,000","71.14","1,928.70","1,020.60","8.16","-11.46"
"HDFCAMC","4,832.40","4,884.00","4,800.00","4,808.40","4,820.00","-","11.60","0.24","2,98,915","144.92","4,891.00","3,415.55","8.99","20.34"
"ICICIGI","1,841.00","1,862.20","1,826.30","1,841.00","1,845.10","-","4.10","0.22","4,55,472","84.10","2,301.90","1,480.50","-0.11","13.03"
"HFCL","87.50","89.18","87.31","87.32","87.51","-","0.19","0.22","1,47,89,162","130.63","171.00","71.60","7.04","-16.76"
"INDIGO","5,336.00","5,355.00","5,294.00","5,313.50","5,324.00","-","10.50","0.20","10,90,832","580.98","5,665.50","3,780.00","-0.20","27.01"
"TATACOMM","1,685.00","1,697.50","1,670.00","1,687.90","1,690.50","-","2.60","0.15","3,09,830","52.26","2,175.00","1,291.00","6.89","-6.09"
"DLF","774.05","780.70","767.70","774.05","775.05","-","1.00","0.13","24,74,259","191.53","929.00","601.20","16.28","-5.85"
"ANGELONE","3,016.10","3,080.00","3,004.20","3,012.90","3,016.80","-","3.90","0.13","10,55,755","320.49","3,503.15","1,941.00","28.20","18.93"
"TVSMOTOR","2,799.70","2,812.90","2,779.10","2,799.70","2,803.00","-","3.30","0.12","4,79,024","133.98","2,958.00","2,069.00","0.30","24.42"
"TATAMOTORS","720.00","722.00","716.20","716.45","717.25","-","0.80","0.11","75,68,961","544.21","1,179.00","535.75","7.45","-24.23"
"ABB","6,014.50","6,062.00","5,981.00","6,014.50","6,021.00","-","6.50","0.11","1,60,963","96.92","9,149.95","4,684.45","8.65","-26.95"
"HINDZINC","453.30","456.95","450.50","451.50","452.00","-","0.50","0.11","18,06,651","82.03","746.00","378.15","0.02","-36.81"
"HDFCBANK","1,920.20","1,934.50","1,917.70","1,926.30","1,928.40","-","2.10","0.11","90,78,797","1,745.78","1,978.90","1,454.00","0.17","25.68"
"INFY","1,581.00","1,587.70","1,570.00","1,570.10","1,571.80","-","1.70","0.11","36,23,370","571.26","2,006.45","1,307.00","6.05","7.14"
"MOTHERSON","149.07","149.74","147.35","148.33","148.50","-","0.17","0.11","1,38,68,731","205.99","216.99","107.25","10.16","4.72"
"BHARATFORG","1,247.10","1,259.30","1,242.00","1,250.40","1,251.50","-","1.10","0.09","12,99,910","162.64","1,804.50","919.10","11.83","-20.19"
"MANAPPURAM","231.80","234.29","231.41","231.81","232.00","-","0.19","0.08","48,29,520","112.43","247.60","138.35","0.35","33.92"
"LT","3,660.00","3,663.00","3,620.00","3,640.00","3,643.00","-","3.00","0.08","12,93,244","471.04","3,963.50","2,965.30","9.59","-0.33"
"UPL","631.45","638.60","629.55","630.35","630.80","-","0.45","0.07","9,37,885","59.49","699.45","459.62","-7.01","21.88"
"TCS","3,520.00","3,529.00","3,493.00","3,498.70","3,500.10","-","1.40","0.04","12,22,933","428.19","4,592.25","3,056.05","1.57","-8.91"
