Symbol,Company Name
PATANJALI.NS,"Patanjali Foods Limited"
APOLLO.NS,"Apollo Micro Systems Limited"
A,"Agilent Technologies, Inc."
AAL,American Airlines Group Inc.
AAPL,Apple Inc.
ABBV,AbbVie Inc.
ABNB,"Airbnb, Inc."
ABT,Abbott Laboratories
ACGL,Arch Capital Group Ltd.
ACN,Accenture plc
ADBE,Adobe Inc.
ADM,Archer-Daniels-Midland Company
ADP,"Automatic Data Processing, Inc."
ADSK,"Autodesk, Inc."
AEE,Ameren Corporation
AES,The AES Corporation
AFL,Aflac Incorporated
AIG,"American International Group, Inc."
AIZ,"Assurant, Inc."




