Symbol,Company Name
APOLLO.NS,N/A
TATATECH.NS,Tata Technologies Ltd
IRCON.NS,IRCON International Limited
GAIL.NS,GAIL (India) Limited
HAL.NS,Hindustan Aeronautics Ltd
IOC.NS,Indian Oil Corporation Ltd
BHEL.NS,Bharat Heavy Electricals Ltd
IDBI.NS,IDBI Bank Ltd
AARTIIND.NS,N/A
ABB.NS,N/A
ABCAPITAL.NS,N/A
ABFRL.NS,N/A
ACC.NS,N/A
ADANIENSOL.NS,N/A
ADANIENT.NS,N/A
ADANIGREEN.NS,N/A
ADANIPORTS.NS,N/A
ALKEM.NS,N/A
AMBUJACEM.NS,N/A
ANGELONE.NS,N/A
APLAPOLLO.NS,N/A
APOLLOHOSP.NS,N/A
APOLLOTYRE.NS,N/A
ASHOKLEY.NS,N/A
ASIANPAINT.NS,N/A
ASTRAL.NS,N/A
ATGL.NS,N/A
AUBANK.NS,N/A
AUROPHARMA.NS,N/A
AXISBANK.NS,N/A
BAJAJ-AUTO.NS,N/A
BAJAJFINSV.NS,N/A
BAJFINANCE.NS,N/A
BALKRISIND.NS,N/A
BANDHANBNK.NS,N/A
BANKBARODA.NS,N/A

